Iteration,Boat,Dog,Person,Plant,Wheel
1000,0.0,9.333333333333334,34.0,0.0,0.0
2000,0.0,9.333333333333334,58.333333333333336,0.0,0.0
3000,0.0,17.333333333333332,84.33333333333333,0.0,7.333333333333333
4000,6.666666666666667,21.0,89.33333333333333,1.6666666666666667,28.0
5000,11.333333333333334,38.333333333333336,97.33333333333333,17.0,41.333333333333336
6000,43.0,60.333333333333336,97.33333333333333,38.333333333333336,63.333333333333336
7000,54.333333333333336,67.66666666666667,97.33333333333333,47.0,72.66666666666667
8000,69.66666666666667,72.33333333333333,97.66666666666667,62.666666666666664,74.66666666666667
9000,86.33333333333333,79.0,97.0,69.0,84.0
10000,91.0,89.66666666666667,99.33333333333333,77.66666666666667,89.66666666666667
11000,78.66666666666667,85.66666666666667,99.33333333333333,80.0,93.33333333333333
12000,85.66666666666667,86.0,99.33333333333333,82.66666666666667,93.0
13000,86.66666666666667,62.666666666666664,100.0,82.33333333333333,93.0
14000,87.66666666666667,90.33333333333333,97.33333333333333,84.66666666666667,66.66666666666667
15000,90.66666666666667,92.33333333333333,99.33333333333333,90.0,97.0
16000,92.33333333333333,94.66666666666667,99.0,90.0,98.0
17000,94.66666666666667,94.0,100.0,93.0,99.0
18000,97.33333333333333,96.0,100.0,94.0,98.66666666666667
19000,98.0,96.66666666666667,99.66666666666667,95.0,99.33333333333333
20000,99.0,97.0,99.66666666666667,95.0,99.33333333333333
