Iteration,Accuracy_1,Accuracy_2,Accuracy_3
1000,1,1,26
1000,0,0,0
1000,2,49,51
1000,0,0,0
1000,0,0,0
2000,2,86,87
2000,0,0,0
2000,0,0,0
2000,1,1,26
2000,0,0,0
3000,0,0,0
3000,0,0,22
3000,65,93,95
3000,2,2,48
3000,0,0,0
4000,0,36,48
4000,0,0,5
4000,74,95,99
4000,3,3,57
4000,0,0,20
5000,0,0,34
5000,0,0,51
5000,1,47,67
5000,0,58,66
5000,96,96,100
6000,45,67,69
6000,32,77,81
6000,24,52,53
6000,94,98,100
6000,0,51,64
7000,0,62,79
7000,39,61,63
7000,48,81,89
7000,47,78,78
7000,94,98,100
8000,57,74,78
8000,47,64,77
8000,96,97,100
8000,56,83,85
8000,67,75,75
9000,52,73,82
9000,83,88,88
9000,71,90,91
9000,91,100,100
9000,75,75,87
10000,89,91,93
10000,85,91,93
10000,71,77,85
10000,98,100,100
10000,88,88,93
11000,78,79,83
11000,98,100,100
11000,78,87,92
11000,89,95,96
11000,50,92,94
12000,87,96,96
12000,71,91,95
12000,98,100,100
12000,83,87,88
12000,76,84,88
13000,100,100,100
13000,90,94,95
13000,12,87,89
13000,73,82,92
13000,69,95,96
14000,75,93,95
14000,89,89,93
14000,2,98,100
14000,81,82,91
14000,93,99,100
15000,98,100,100
15000,84,93,93
15000,92,92,93
15000,94,98,99
15000,83,94,95
16000,97,97,100
16000,94,95,95
16000,79,95,96
16000,97,100,100
16000,85,95,97
17000,98,99,100
17000,87,93,99
17000,89,96,97
17000,100,100,100
17000,90,96,98
18000,98,99,99
18000,100,100,100
18000,89,93,100
18000,92,98,98
18000,97,97,98
19000,99,100,100
19000,98,100,100
19000,91,94,100
19000,96,99,99
19000,93,98,99
20000,99,99,100
20000,99,100,100
20000,93,99,99
20000,91,95,99
20000,98,99,100
